question_id,question_text,passage_id,passage_text
qu18,Which plant materials were found to completely reduce the yeast count in Kariesh cheese within 2 hours?,pa18,"on the microbiological quality of ready-to-eat Kariesh cheese, the total bacterial count, coliform count, and yeast and moulds counts, were determined. It has been found that addition of plant materials to Kariesh cheese reduced the total bacterial and coliform populations. All concentrations of cayenne, green pepper, dill, and parsley (9%) completely reduced the yeast count within 2 hours. Cayenne and green pepper entirely reduced the mold count within 2 days, whereas parsley and dill were found to be less effective. Kariesh cheese prepared with 1% cayenne pepper and 3% and 6% each of green pepper, dill, and parsley were found strongly acceptable to the consumer and considered the most preferable type. Therefore, this study revealed that pepper, parsley, and dill exhibited antibacterial activity against natural microflora, coliforms, yeast and molds, and S. aureus in Kariesh cheese, and the addition of these plants is acceptable to the consumer and may contribute to the development of new and safe varieties of Kariesh cheese [31]."
qu19,What is the main reason for the increasing demand for Kariesh by Egyptian consumers?,pa19,"The increasing demand for Kariesh by Egyptian consumers is mainly attributed to its low price [15, 17]."
qu20,What factor is considered the most notable attribute for consumers when it comes to Kariesh cheese?,pa20,"Kariesh Cheese acceptability depends on its appearance and sensory properties (flavour, texture, and colour). Among these, flavour is the most notable attribute for the consumer [32]. Many modifications have been tried to improve cheese quality. Fahmi [33] used combined acid and rennet coagulation, reporting that it gave Kariesh cheese a smooth texture and was more appealing than cheese made by the traditional method. It has been reported that carbonyl compounds and the volatile acids are mainly responsible for the odour and flavour of cheese, so the addition of citrate salt improved the quality of Kariesh cheese [34]."
qu21,What are the main therapeutic benefits of increasing the Bifidobacterium content in Kariesh cheese?,pa21,"Several approaches have been proposed to improve therapeutic effect of Kariesh cheese. One of the most common approaches is to modify the manufacturing procedure in order to increase the Bifidobacterium [35]. The main therapeutic benefits of Bifidobacterium are: immune enhancement, prevention of diarrhoea disease and colon cancer, enhancement of immunity against intestinal infections, prevention of upper gastrointestinal tract diseases and hypercholesterolemia; improvement in lactose utilization; and stabilization of the gut mucosal barrier [36]. The number of viable Bifidobacterium taken orally is decreased due to action of processing and storage conditions of the food containing them and to the action of gastric juice and bile salts. Bifidobacterium has poor survivability in dairy products as they do not tolerate exposure to highly acidic and aerated media [37]. During in-vivo trial, microencapsulation techniques have been investigated to improve the viability of lactic acid bacteria when incorporated in dairy products. In this in-vivo process cells are retained within an encapsulating matrix or membrane. The most widely used encapsulating material is alginate, through a direct compression encapsulation, and rennet-gelled protein encapsulation. Rennet could be us"
qu22,How did microencapsulation affect the survival of Bifidobacterium adolescentis ATCC 15704 under simulated gastrointestinal conditions and during cold storage in Kariesh cheese?,pa22,"ed to prepare water-insoluble microcapsules based on milk-proteins without significant loss of cell during the encapsulation process. For in-vitro trial, it was carried out that Microencapsulation protected the cells during incubation under simulated gastric conditions at low pH [38]. Preparing functional Kariesh cheese with encapsulated Bifidobacterium adolescentis ATCC 15704, made with rennet-gelled of milk proteins, is done to evaluate the survival of encapsulated cultures under simulated gastrointestinal conditions and to determine any possible change of encapsulated Bifidobacterium and organic acids in Kariesh cheese during the storage period. Microencapsulation in protein milk micro particles successfully improved the survival of B. adolescentis ATCC 15704 in bile solutions, and protected the B. adolescentis ATCC 15704 in the gastrointestinal tract. In addition, the microencapsulation significantly increased the survival of B. adolescentis ATCC 15704 in Kariesh cheese during cold storage. The numbers of B. adolescentis ATCC 15704 in encapsulated state were 8.12 log CFU/g at the end of two weeks of cold storage. This viable cell number was higher than that recommended by the International Dairy Federation (107 CFU/g), indicating that the high initial number of"
qu23,How could the use of milk-proteins in microencapsulation of B. adolescentis ATCC 15704 affect acetic and lactic acids during storage?,pa23,"probiotic could provide the recommended number in the final product. Moreover, it can be assessed that the use of milk-proteins in microencapsulation of B. adolescentis ATCC 15704 could increase the acetic and lactic acids during storage [19]."
qu24,"What are the nutritional benefits of Kariesh cheese, and how does it support weight loss and bone health?",pa24,"Kariesh cheese is full of vitamins and minerals-iron, calcium, zinc and selenium that help protecting bones, body and health. It is one of the favorites for gym goers and body builders as it is low in fat and high in the right protein for lean muscle growth-casein. It is one of the best non-meat sources of protein around. The high protein content of Kariesh cheese and its high casein content make it a high satiety food so it reduces hunger for a long time. So it is a beneficial food for weight loss. Calcium in Kariesh cheese is important not only for building strong bones, but also for maintaining normal blood pressure. It is safe to eat during pregnancy. Each 100 g of kariesh cheese can provide children (1-8 y) with 80.14-128.22 % of their calcium needs while, for adults, the % is differ according to the age. It provides them from 49.32% (9-18 y) to 64.11% (19-50 y) [20]."
qu25,What are the benefits of Kariesh cheese for health and nutrition?,pa25,"Kariesh cheese origin goes back to the Pharaonic period 3200 B.C. to 332 B.C., it's made from defatted or skims cow or buffalo milk or a mixture of both, also it can be produced from the fermented milk, Laban Khad, or it is partially dehydrated variant.Recently, the increasing demand by Egyptian consumers is mainly attributed to its high protein content and low price. The production of Kariesh cheese by addition of hydrocolloids had a profound influence on its chemical composition, yield, rheological and sensory characteristics. Addition of hydrocolloids increased cheese moisture content and decreased hardness, protein, salt and ash content. It is recommended to use and implement immediate regulatory measures like good manufacturing practices as well as distribution and retail storage practices for ensuring microbiological safety of kariesh cheese. Kariesh cheese is one of the best non-meat sources of protein, full of vitamins and minerals-iron, calcium, zinc and selenium that help protecting bones, body and health. The high protein content of Kariesh cheese and its high casein content make it a high satiety food so it reduces hunger for a long time, so it is a beneficial food for weight loss. Calcium in Kariesh cheese is important not only for building strong bones, but also for maintaining normal blood pressure. It is safe to eat during pregnancy. Nowadays, Kariesh cheese is a promising food in the avoidance of health problems associated with fat, particularly for old people."
qu26,Who provided technical advice in chemical analysis to the authors?,pa26,The authors are very grateful to Dr Giles O'Donovan for his technical advice in chemical analysis and useful
qu27,"Which authors wrote the book titled *Cheese: Chemistry, Physics and Microbiology* published by Chapman & Hall Publishers in 1993?",pa27,"[1] J. A. Phelan, J. Renaud, P. F. Fox. Cheese: Chemistry, Physics and Microbiology, Chapman & Hall Publishers, London, 1993."
qu28,What is the title of the article written by N. A. Abou-Zeid in the Journal of Dairy Research?,pa28,"[2] N. A. Abou-Zeid. New type of Domiati cheese of potential benefit to people with high blood cholesterol, Journal of Dairy Research, Vol. 59, 89-94, 1992."
qu29,What is the title of the article written by S. A. Abou-Donia and M. A. El-Soda published in the Indian Journal of Dairy Science in 1986?,pa29,"[3] S. A. Abou-Donia, M. A. El-Soda. Egyptian soft pickeled ripened mish cheese, Indian Journal Dairy Science, Vol. 39, 1-5, 1986."
qu30,"Who is the author of the article ""Egyptian fresh fermented milk products"" published in the New Zealand Journal of Dairy Science and Technology in 1984?",pa30,"[4] S. A. Abou-Donia. Egyptian fresh fermented milk products. New Zealand Journal of Dairy Science and Technology, Vol. 19, 7-18, 1984."
qu31,"Who is the author of ""A Colour Guide to Cheese and Fermented Milks""?",pa31,"[6] S. A. Abou-Donia. A Colour Guide to Cheese and Fermented Milks. Champan& Hall Publishers, London, 1995."
qu32,"Who is the author of the article titled ""Geographical distribution and historical development of Ancient Egyptian dairy products""?",pa32,"[7] S.A. Abou-Donia. Geographical distribution and historical development of Ancient Egyptian dairy products. Egyptian Journal of Dairy Science, Vol. 27, 359-368, 1999a"
qu33,What is the focus of S. A. Abou-Donia's work presented at the Alexandria Symposium on Starter Cultures and their Use in Dairy Industry in 1999?,pa33,"[8] S. A. Abou-Donia. Importance of Fermented Milks and Related Cheese, Egyptian Diet. Proceedings of the Alexandria Symposium on Starter Cultures and their Use in Dairy Industry, Alexandria, 108-114, 1999b."
qu34,"Who is the author of the article ""Fermented Foods of Egypt and the Middle East"" published in the Journal Food Protection in 1983?",pa34,"[9] S. M. El-Gendy. Fermented Foods of Egypt and the Middle East. Journal Food Protection, Vol. 46, 358-367, 1983."
qu35,Who authored the paper on the geographical distribution and historical development of ancient Egyptian dairy products presented at the 7th Egyptian Conference for Dairy Science and Technology in 1998?,pa35,"[11] S. A. Abou-Donia. Geographical distribution and historical development of ancient Egyptian dairy products, 7th Egyptian Conference for Dairy Science and Technology, 23, 1998."
qu36,What is the title of the work published by Z. H. Iskandar in 1942?,pa36,"[13] Z. H. Iskandar. Annales du Service des Antiques de Egypt. IskandarPublisher, Cairo, Egypt, 1942."
qu37,Who is the author of the study on Egyptian Domiati soft white cheese published in the New Zealand Journal of Dairy Science and Technology?,pa37,"[14] S. A. Abou-Donia. Egyptian Domiati soft white cheese. New Zealand Journal of Dairy Science and Technology, Vol. 21, 167-190, 1986."
qu38,What is the title and publication details of the article written by S. A. Abou-Donia on Egyptian dairy products?,pa38,"[15] S. A. Abou-Donia. Origin, history and manufacturing process of Egyptian dairy products: An overview. Journal of Food Science and Technology,Vol. 5, 51-62, 2008"
qu39,What is the title and author of the MSc Thesis discussed in the passage?,pa39,"[16] Y. A. Moustafa. Studies on some bacteriological and chemical properties of Kariesh cheese. MSc Thesis, University of Ain Shams, Cairo, 1967."
qu40,"Who are the authors of the article titled ""Production of skim milk (Kariesh cheese) from ultra-filtered reconstituted milk"" published in the Egyptian Journal of Dairy Science in 1984?",pa40,"[17] M. H.Abd-El-Salam, S. El-Shibiny, H. A. El-Alamy. Production of skim milk (Kariesh cheese) from ultra-filtered reconstituted milk. Egyptian Journal of Dairy Science, Vol. 12, 111-115, 1984."
qu41,What type of milk is used in the production of white pickled Brinza cheese according to the study by M. M. Omar and A. I. El-Zayat?,pa41,"[18] M. M. Omar, A. I. El-Zayat. A study on the ripening of white pickled Brinza cheese made from ewe's milk. Molecular Nutrition Food Research, Vol. 31, 783-791, 1987"
qu42,"What was the focus of the research conducted by M. Korish and A. M. AbdElhamid, as published in the International Journal of Dairy Technology in 2012?",pa42,"[19] M. Korish, A. M. AbdElhamid. Improving the textural properties of Egyptian Kariesh cheese by addition of hydrocolloids. International Journal of Dairy Technology,Vol. 65, 237-242, 2012"
qu43,"Who are the authors of the article titled ""Chemical, Nutritional and Microbiological Evaluation of Some Egyptian Soft Cheeses""?",pa43,"[20] Z. A. A. Ghada, M. H. Alia, S. Soha Al, N. A. Magdy, F. S. Mohamed. Chemical, Nutritional and Microbiological Evaluation of Some Egyptian Soft Cheeses. Egyptian Journal Hospital MedicineVol. 17, 44-57, 2004."
qu44,Who are the authors of the study on the bacteriological quality of Kariesh cheese and ice cream?,pa44,"[21] O. H. Baraheem, H. A. El-Shamy, W. M.Bakr,N. F. Gomaa. Bacteriological Quality of Some Dairy Products (Kariesh Cheese and Ice Cream). Alexandria, Vol. 82 No. 5, 2007."
qu45,Who conducted the study on improving the textural properties of an acid-coagulated (Kariesh) cheese using exopolysaccharide producing cultures?,pa45,"[22] N. H. Ahmed, M.A. El-Soda, A. N. Hassan, Frank J. Improving the textural properties of an acid-coagulated (Kariesh) cheese using exopolysaccharide producing cultures. LWT Food Science and Technology, Vol. 38, 843-847, 2005."
qu46,What is the focus of M. E. Aly's study published in the Egyptian Journal of Dairy Science in 1990?,pa46,"[23] M. E. Aly. Utilization of freeze-shocked lactobacilli for enhancing flavour development of Ras cheese. Egyptian Journal of Dairy Science, Vol. 18, 143-158, 1990."
qu47,What effect do heat-treated lactobacilli have on low-fat cheese according to the article by Y. Ardo and H. L. Mansson published in Scandinavian Dairy Information in 1990?,pa47,"[24] Y. Ardo, H. L. Mansson. Heat treated lactobacilli develop desirable aroma in low-fat cheese. Scandinavian Dairy Information. Vol. 4, 38-40, 1990."
qu48,Who conducted the study on accelerated ripening of cheese using partial lyophilized lactococci published in the Menofiya Journal of Agriculture Research in 1996?,pa48,"[25] R. M. Badawi, M. K.Kebary. Accelerated ripening of cheese by partial lyophilized lactococci Menofiya Journal of Agriculture Research,Vol. 21, 63-81, 1996."
qu49,"What was the focus of the study conducted by H. J. Barteles, M. E. Johnson, and N. F. Olson on Gouda cheese, as described in the given passage?",pa49,"[26] H. J.Barteles, M. E. Johnson, N. F. Olson. Accelerated ripening of Gouda cheese. II. Effect of freeze shocked Lactobacillus helveticus on proteolysis and flavour development. Milchwissenschaft, Vol. 42, 139-144, 1987."
qu50,"What is the subject of the research conducted by H. El-Shafei, A. Hantira, N. Ezzat, and M. El-Soda in their 1992 publication in LWT Food Science and Technology?",pa50,"[27] H. El-Shafei, A. Hantira, N. Ezzat, M. El-Soda. Characteristics of Ras cheese made with freeze-shocked Pediococcushalophilus. LWT Food Science and Technology,Vol. 25, 438-441, 1992."
qu51,"What method is described by Exterkate, Veer, and De Stadhouders for accelerating the ripening process of Gouda cheese?",pa51,"[28] F. A. Exterkate, G. J. C. M. Veer, J. De Stadhouders. Acceleration of the ripening process of Gouda cheese by using heat-treated mixed-strain starter cells. Netherland Milk Dairy JournalVol. 41, 307-320, 1987."
qu52,What methods were studied by N. Ezzat and H. El-Shafei for accelerating the ripening of Ras cheese?,pa52,"[29] N. Ezzat, H. El-Shafei. Accelerated ripening of Ras cheese using freeze and heat-shocked. Lactobacillus helveticus. Egyptian Journal of Dairy Science,Vol. 19, 347-358, 1991."
qu53,Who conducted the study on the influence of attenuated lactococci on the quality of Kariesh cheese made by direct acidification?,pa53,"[30] O. M. Salem, A. I. Hamed, K. M. K. Kebary, A. S. El-Sisi. Influence of attenuated lactococci on the quality of Kariesh cheese made by direct acidification. Egyptian Journal Dairy Science,Vol. 25, 253-260, 1997."
qu54,"What are the antimicrobial effects and roles of pepper, parsley, and dill in enhancing the microbiological quality of traditional Egyptian Kareish cheese according to the study by N. M. Wahba, A. S. Ahmed, and Z. Z. Ebraheim?",pa54,"[31] N. M. Wahba, A. S. Ahmed, Z. Z. Ebraheim. Antimicrobial effects of pepper, parsley, and dill and their roles in the microbiological quality enhancement of traditional Egyptian Kareish cheese. Foodborne Pathology DiseaseVol. 7, 411-418, 2010."
qu55,What is the main focus of the study conducted by C. L. Randazzo and colleagues published in the Journal of Applied Microbiology in 2007?,pa55,"[32] C. L. Randazzo, S. De Luca, A. Todaro, C. Restuccia, C. M. Lanza, G. Spagna, C. Caggia. Preliminary characterization of wild lactic acid bacteria and their abilities to produce flavour compounds in ripened model cheese system. Journal of Applied Microbiology Vol. 103, 427-435, 2007."
qu56,What is the main topic of the study conducted by A. E. Abou-Dawood and S. M. Abdou published in the Egyptian Journal of Dairy Science in 1973?,pa56,"[34] A. E. Abou-Dawood,S. M. Abdou. The effect of adding sodium citrate to skim milk on the quality, chemical changes yield of the cheese (Kariesh) during pickling. Egyptian Journal of Dairy Science,Vol. 1, 141-147, 1973."
qu57,Who are the authors of the study on the utilization of oligosaccharides from sweet lupin as a prebiotic in kariesh cheese analog?,pa57,"[35] T. M. El-Nemr, S. A.Awad, B.Gehan, J. R.Jjuuko (2007) Utilization of oligosaccharides from sweet lupin (Lupinustermis) as a prebiotic into kariesh cheese analog, Proceeding of the 10th Egyptian conference for Dairy Science and Technology, Cairo, Egypt, 377-390, 2007."
qu58,What are the two probiotic organisms mentioned in the passage that have therapeutic potential?,pa58,"[36] K. Kailasapathy, J. Chin. Survival and therapeutic potential of probiotic organisms with reference to Lactobacillus acidophilus and Bifidobacterium spp. Immunology Cell Biology,Vol. 78, 80-88, 2000."
qu59,"What is the main subject of the study conducted by P. Muthukumarasamy, P. W. Allan, and A. R. Holley, published in the Journal of Food Science in 2006?",pa59,"[37] P. Muthukumarasamy, P. W. Allan,A. R. Holley. Stability of Lactobacillus reuteri in different types of microcapsules. Journal of Food Science,Vol. 71, 20-24, 2006."
qu60,"What method is used for the microencapsulation of probiotic cells in the study conducted by T. Heidebach, P. Först, and U. Kulozik?",pa60,"[38] T. Heidebach, P. Först, U. Kulozik. Microencapsulation of probiotic cells by means of rennet-gelation of milk proteins. Food Hydrocolloids,Vol. 23, 1670-1677, 2009"
